Q1,Q2,A,observation,condition,itemID,list
all,some,wrong,"[3, 3, 3, 3, 3]",info,1,1
all,some,right,"[9, 9, 9, 9, 9]",info,2,2
some,most,right,"[9, 9, 9, 9, 9]",info,3,1
some,most,wrong,"[3, 3, 3, 3, 3]",info,4,2
none,none,right,"[9, 9, 9, 9, 9]",info,5,1
none,all,wrong,"[9, 9, 9, 9, 9]",info,6,2
none,all,right,"[3, 3, 3, 3, 3]",info,7,1
none,none,wrong,"[3, 3, 3, 3, 3]",info,8,2
most,most,wrong,"[3, 3, 3, 3, 3]",info,9,1
most,most,right,"[9, 9, 9, 9, 9]",info,10,2
most,some,wrong,"[3, 3, 3, 3, 3]",info,11,1
most,some,right,"[9, 9, 9, 9, 9]",info,12,2
some,some,wrong,"[0, 0, 0, 0, 0]",high,13,1
most,some,wrong,"[0, 0, 0, 0, 0]",high,14,2
some,some,right,"[3, 3, 0, 0, 0]",high,15,1
some,most,wrong,"[0, 0, 0, 0, 0]",high,16,2
some,most,right,"[9, 9, 0, 0, 0]",high,17,1
none,none,right,"[3, 3, 3, 3, 3]",high,18,2
none,all,wrong,"[3, 3, 3, 3, 3]",high,19,1
most,some,right,"[3, 3, 3, 0, 0]",high,20,2
some,none,wrong,"[12, 12, 0, 0, 0]",high,21,1
all,some,right,"[3, 3, 3, 3, 3]",high,22,2
some,all,right,"[12, 12, 0, 0, 0]",high,23,1
some,some,wrong,"[3, 3, 0, 0, 0]",high,24,2
some,some,right,"[12, 12, 12, 12, 12]",low,25,1
most,some,right,"[12, 12, 12, 12, 12]",low,26,2
some,some,wrong,"[12, 12, 12, 9, 9]",low,27,1
some,most,right,"[12, 12, 12, 12, 12]",low,28,2
some,most,wrong,"[12, 12, 12, 3, 3]",low,29,1
none,none,wrong,"[9, 9, 9, 9, 9]",low,30,2
none,all,right,"[9, 9, 9, 9, 9]",low,31,1
most,some,wrong,"[12, 12, 9, 9, 9]",low,32,2
some,none,right,"[12, 12, 12, 0, 0]",low,33,1
all,some,wrong,"[9, 9, 9, 9, 9]",low,34,2
some,all,wrong,"[12, 12, 12, 0, 0]",low,35,1
some,some,right,"[12, 12, 12, 9, 9]",low,36,2
